"provider","doi","citeulike","connotea","scopus","ploscounter","pmc","facebook","mendeley","twitter","date_modified"
NA,NA,999,999,999,999,999,999,999,999,"1970-01-01"
"plosalm","10.1371/journal.pone.0036933",0,0,0,704,124,0,6,5,2013-05-13
"altmetric","10.1371/journal.pone.0036933",0,0,NA,NA,NA,NA,4,6,2012-06-14
"impactstory","10.1371/journal.pone.0036933",NA,NA,NA,689,NA,NA,6,5,2013-05-13
"plosalm","10.1371/journal.pone.0034264",0,0,0,657,339,0,2,0,2013-05-13
"altmetric","10.1371/journal.pone.0034264",999,999,NA,NA,NA,999,999,999,1970-01-01
"impactstory","10.1371/journal.pone.0034264",NA,NA,NA,624,NA,NA,2,NA,2013-05-13
"plosalm","10.1371/journal.pone.0050257",0,0,0,480,142,1,1,2,2013-05-13
"altmetric","10.1371/journal.pone.0050257",0,0,NA,NA,NA,NA,0,4,2012-12-05
"impactstory","10.1371/journal.pone.0050257",NA,NA,NA,472,NA,NA,1,2,2013-05-13
"plosalm","10.1371/journal.pone.0047601",0,0,0,227,121,0,NA,0,2013-05-13
"altmetric","10.1371/journal.pone.0047601",999,999,NA,NA,NA,999,999,999,1970-01-01
"impactstory","10.1371/journal.pone.0047601",NA,NA,NA,224,NA,NA,NA,NA,2013-05-13
"plosalm","10.1371/journal.pone.0052926",0,0,0,848,144,0,1,0,2013-05-13
"altmetric","10.1371/journal.pone.0052926",999,999,NA,NA,NA,999,999,999,1970-01-01
"impactstory","10.1371/journal.pone.0052926",NA,NA,NA,844,NA,NA,2,NA,2013-05-13
"plosalm","10.1371/journal.pone.0039594",0,0,0,462,73,0,3,0,2013-05-13
"altmetric","10.1371/journal.pone.0039594",999,999,NA,NA,NA,999,999,999,1970-01-01
"impactstory","10.1371/journal.pone.0039594",NA,NA,NA,454,NA,NA,4,NA,2013-05-13
"plosalm","10.1371/journal.pone.0047593",0,0,0,357,35,0,NA,2,2013-05-13
"altmetric","10.1371/journal.pone.0047593",0,0,NA,NA,NA,NA,0,1,2012-10-17
"impactstory","10.1371/journal.pone.0047593",NA,NA,NA,351,NA,NA,NA,2,2013-05-13
"plosalm","10.1371/journal.pone.0039591",0,0,0,649,285,0,NA,0,2013-05-13
"altmetric","10.1371/journal.pone.0039591",999,999,NA,NA,NA,999,999,999,1970-01-01
"impactstory","10.1371/journal.pone.0039591",NA,NA,NA,636,NA,NA,NA,NA,2013-05-13
"plosalm","10.1371/journal.pone.0034257",0,0,0,667,160,0,NA,0,2013-05-13
"altmetric","10.1371/journal.pone.0034257",999,999,NA,NA,NA,999,999,999,1970-01-01
"impactstory","10.1371/journal.pone.0034257",NA,NA,NA,641,NA,NA,NA,NA,2013-05-13
"plosalm","10.1371/journal.pone.0052888",0,0,0,477,157,1,NA,0,2013-05-13
"altmetric","10.1371/journal.pone.0052888",999,999,NA,NA,NA,999,999,999,1970-01-01
"impactstory","10.1371/journal.pone.0052888",NA,NA,NA,473,NA,NA,NA,NA,2013-05-13
"plosalm","10.1371/journal.pone.0052886",0,0,0,631,118,0,NA,0,2013-05-13
"altmetric","10.1371/journal.pone.0052886",999,999,NA,NA,NA,999,999,999,1970-01-01
"impactstory","10.1371/journal.pone.0052886",NA,NA,NA,626,NA,NA,NA,NA,2013-05-13
"plosalm","10.1371/journal.pone.0042211",0,0,1,909,269,1,NA,1,2013-05-13
"altmetric","10.1371/journal.pone.0042211",0,0,NA,NA,NA,NA,0,2,2012-10-24
"impactstory","10.1371/journal.pone.0042211",NA,NA,1,893,1,NA,NA,1,2013-05-13
"plosalm","10.1371/journal.pone.0042210",0,0,0,675,182,0,NA,0,2013-05-13
"altmetric","10.1371/journal.pone.0042210",999,999,NA,NA,NA,999,999,999,1970-01-01
"impactstory","10.1371/journal.pone.0042210",NA,NA,NA,664,NA,NA,NA,NA,2013-05-13
"plosalm","10.1371/journal.pone.0042214",0,0,0,226,59,0,NA,0,2013-05-13
"altmetric","10.1371/journal.pone.0042214",999,999,NA,NA,NA,999,999,999,1970-01-01
"impactstory","10.1371/journal.pone.0042214",NA,NA,NA,218,NA,NA,NA,NA,2013-05-13
"plosalm","10.1371/journal.pone.0023580",0,0,0,863,226,1,8,0,2013-05-13
"altmetric","10.1371/journal.pone.0023580",0,0,NA,NA,NA,NA,5,2,2011-11-04
"impactstory","10.1371/journal.pone.0023580",NA,NA,NA,841,NA,NA,9,NA,2013-05-13
"plosalm","10.1371/journal.pone.0031558",0,0,2,626,420,0,NA,0,2013-05-13
