"doi","scopus","mendeley","twitter","pmc","ploscounter"
NA,999,999,999,999,999
"10.1371/journal.pone.0043007",1,42,149,856,42098
"10.1371/journal.pone.0047981",1,7,198,258,27203
"10.1371/journal.pone.0040542",2,44,20,97,5751
"10.1371/journal.pcbi.1002533",4,63,13,222,7682
"10.1371/journal.pcbi.1002598",2,89,91,176,13516
"10.1371/journal.pone.0037810",3,20,5,217,6207
"10.1371/journal.pgen.1002451",7,27,1,868,5548
"10.1371/journal.pone.0050698",3,6,178,433,68766
"10.1371/journal.pcbi.1002554",3,45,47,450,4949
"10.1371/journal.pone.0029796",3,1,17,165,6487
"10.1371/journal.pone.0050707",3,5,29,178,9115
"10.1371/journal.pone.0042727",1,12,32,213,5727
"10.1371/journal.pcbi.1002541",1,55,12,269,3537
"10.1371/journal.pcbi.1002574",2,NA,22,326,5052
"10.1371/journal.pntd.0001736",3,7,NA,339,2545
"10.1371/journal.pcbi.1002589",4,30,1,232,3067
"10.1371/journal.pcbi.1002590",1,29,12,246,5989
"10.1371/journal.pcbi.1002568",1,11,4,270,2323
"10.1371/journal.pcbi.1002606",10,116,7,1733,8331
"10.1371/journal.pgen.1002556",6,43,10,1071,8639
"10.1371/journal.pcbi.1002551",1,17,1,119,2076
"10.1371/journal.pone.0043404",3,10,28,157,2598
"10.1371/journal.pone.0042740",NA,14,3,234,4538
"10.1371/journal.pone.0050743",1,7,13,43,1304
"10.1371/journal.pone.0047996",3,1,2,379,1079
"10.1371/journal.pgen.1002480",7,17,1,901,3451
"10.1371/journal.pcbi.1002604",4,47,5,453,3511
"10.1371/journal.pone.0034523",2,15,3,81,1611
"10.1371/journal.pcbi.1002538",4,12,3,463,3113
"10.1371/journal.pone.0047986",2,7,4,346,1096
"10.1371/journal.pcbi.1002555",2,17,3,145,3618
"10.1371/journal.pcbi.1002559",1,25,2,212,2844
"10.1371/journal.pcbi.1002558",1,18,4,160,2246
"10.1371/journal.pone.0037809",2,6,3,79,860
"10.1371/journal.pcbi.1002631",1,40,58,165,9638
"10.1371/journal.pone.0048029",3,32,29,180,3636
"10.1371/journal.pone.0029795",2,27,2,1153,2957
"10.1371/journal.pcbi.1002634",1,32,3,116,2827
"10.1371/journal.pcbi.1002582",6,33,4,601,3691
"10.1371/journal.pgen.1002455",14,9,1,752,3017
"10.1371/journal.pone.0040526",5,19,1,290,1191
"10.1371/journal.pone.0047995",3,11,20,429,3827
"10.1371/journal.pone.0032289",2,11,NA,198,1074
"10.1371/journal.pone.0045892",2,7,NA,210,926
"10.1371/journal.pcbi.1002591",4,28,9,173,3067
"10.1371/journal.pone.0037818",10,20,1,988,3363
"10.1371/journal.pone.0029770",15,27,1,2787,5375
"10.1371/journal.pcbi.1002619",1,12,2,235,2231
"10.1371/journal.pcbi.1002561",2,74,10,327,10078
"10.1371/journal.pcbi.1002549",2,15,8,245,2827
"10.1371/journal.pcbi.1002549",2,5,8,245,2827
"10.1371/journal.pone.0029762",2,16,1,260,1458
"10.1371/journal.pone.0042676",8,7,2,791,1387
"10.1371/journal.pone.0035325",1,10,2,885,1735
"10.1371/journal.pone.0040563",6,28,1,321,2788
"10.1371/journal.pone.0035203",2,6,NA,316,1376
"10.1371/journal.pone.0040544",3,1,2,355,1131
"10.1371/journal.pone.0037775",2,9,4,756,1790
"10.1371/journal.pgen.1002454",15,NA,4,1272,5518
"10.1371/journal.pone.0048032",1,7,1,127,1470
"10.1371/journal.pone.0035199",11,12,3,400,4038
"10.1371/journal.pone.0035329",2,8,2,177,884
"10.1371/journal.pone.0032292",2,7,13,141,2836
"10.1371/journal.pgen.1002469",2,7,5,539,3986
"10.1371/journal.pone.0043403",3,7,5,302,7973
"10.1371/journal.pgen.1002472",5,18,2,524,2991
"10.1371/journal.pone.0040651",2,9,NA,94,1324
"10.1371/journal.pgen.1002473",7,48,3,862,4231
"10.1371/journal.pone.0050751",3,6,2,67,562
"10.1371/journal.pone.0042640",3,1,1,261,962
"10.1371/journal.pcbi.1002592",4,32,1,166,2814
"10.1371/journal.pcbi.1002535",3,1,4,59,3268
"10.1371/journal.pcbi.1002588",4,31,4,438,4136
"10.1371/journal.pcbi.1002579",2,44,3,357,3583
"10.1371/journal.pcbi.1002620",1,6,NA,332,1425
"10.1371/journal.pone.0034527",1,10,5,103,1647
"10.1371/journal.pcbi.1002548",2,8,1,195,2109
"10.1371/journal.pcbi.1002575",1,60,1,419,4466
"10.1371/journal.pcbi.1002546",1,10,1,121,1936
"10.1371/journal.pone.0035326",4,9,4,368,3737
